voice, stone, expert, square, shade, stream, rock, cheese, cave, canvas, crate, day, jeans, calendar, quilt, sock, boys
jar, 1520, R, 0, 0, 1, -319583054, 2, 0, 0, -0.001900, 0.055381, 64, 1735463, 5, -0.010132, 1
detail, 4, w, 0, 1, 1, -1758211989, 307, 1, 0, -0.652451, -0.070588, 4540, 107348, 207538, -0.000950, eb
hole, 6030, 7, 0, 1, 0, 2290895, -12052, 0, 0, 0.006927, -0.000000, 2, 16597119, 5006723, 4032.839546, fd
girl, 6573, a, 0, 1, 1, 698650566, 14907, 0, 0, -231.587509, 0.000004, 255, 8672, 1971, -0.419033, f5
committee, 115, n, 0, 0, 1, -15611856207, 0, 0, 1, -12.745506, 73.962929, 3, 8, 30553777, -0.384197, fd
dinosaurs, 14354, H, 0, 0, 1, 330877289712, 4432, 0, 0, -0.005852, 5.774748, 252, 1, 1021, -0.000008, 6c
clover, 153, m, 0, 0, 0, -1429148, 0, 1, 1, 7171.594673, 0.014989, 1, 72963, 2325472899, -0.313858, f9
stage, 7224, S, 1, 0, 1, 698650566, 121526, 1, 0, 80.816765, 5.588469, 255, 8672, 1908042, 1424.941338, 8
texture, 113, {, 1, 0, 1, -545575781548801491, -6, 0, 0, 0.006927, -0.000000, 0, 16597119, 5006723, 77.506622, 3c
wrench, 651, 2, 0, 0, 0, -15611856207, -15330, 0, 1, -0.000031, 73.962929, 3, 8, 110372572, -332.989548, fd
flavor, 20, 1, 1, 1, 0, 2838172, -12052, 1, 0, -0.000023, -0.000443, 15435, 20918729, 7, 4032.839546, 0
dinosaurs, 0, J, 0, 0, 1, -115460876418, 16750890, 1, 1, -4308.903397, 175.050079, 5567, 33, 11, -0.000114, ff
transport, 18, i, 1, 0, 0, -1779907367262978, -3, 0, 1, -0.891228, 127.413872, 2, 952, 2623708, 14.642010, ff
birthday, 7648, O, 0, 1, 1, -543561451578746, 16750890, 1, 1, -0.002411, -0.000590, 5567, 33, 8, -5.531151, 10
territory, 14354, X, 0, 0, 0, 330877289712, -1, 0, 0, -0.005852, 5.774748, 252, 1, 1021, -78.500542, 6c
wrench, 15, $, 0, 0, 1, -15611856207, -15330, 0, 1, -12.745506, 73.962929, 3, 8, 110372572, -332.989548, fd
road, 305, O, 0, 1, 1, -543561451578746, 814574667, 1, 1, 163.016815, 0.119908, 21485, 33, 3445, -0.219215, fe
quicksand, 2, B, 1, 0, 0, 90290356439549, -583170226, 0, 1, -5.518333, 0.000813, 9072, 9, 177, 1.610012, e5
watch, 20, f, 1, 1, 0, -573601114230655274, -225959653, 1, 1, 2040.815796, -0.000000, 1, 27243, 389574, -0.000011, 0
wealth, 3, $, 0, 0, 0, 616705, -237096, 1, 0, 0.002464, -0.000000, 14, 2714488176, 220, -0.000160, 3
amusement, 137, ], 0, 1, 1, -201434833562257380, 387838126, 1, 0, -0.001854, -7.770426, 41296, 0, 122619249, 0.000202, 1
sky, 0, F, 1, 0, 0, -235981310667791233, 390, 1, 1, -0.000008, -0.940717, 0, 114174347, 14204567, -0.000053, 4
secretary, 19, L, 1, 1, 0, -5723390196735765, 50, 0, 0, 0.000000, 0.000440, 2, 952, 1988349, -0.000103, 6
spoon, 2588, X, 1, 1, 1, -1669821319606, 9227, 0, 0, -3.123459, 5.588469, 46376, 8672, 649, -0.000732, fe
carpenter, 117, 2, 0, 1, 1, -31, 1965053810, 1, 0, 0.000450, -0.012947, 41296, 0, 186568, -607.917522, fa
change, 4, ^, 0, 0, 0, 5524534630737173118, -128, 0, 1, 0.123573, -0.005945, 496, 346661, 34537, 1.504776, fe
, 6, #, 0, 1, 1, -201434833562257380, 66999, 1, 0, 447.449928, -7.770426, 41296, 0, 68685792, 0.027473, ff
acoustics, 3, %, 0, 0, 1, -543561451578746, 14121388, 1, 1, 163.016815, 0.119908, 21485, 33, 50215, -0.000114, fe
existence, 9753, t, 1, 0, 0, 2150745224003503, -1647287839, 1, 0, 0.000038, 0.001180, 13, 72963, 2325472899, 0.003860, f
food, 14354, X, 0, 0, 0, 330877289712, -1, 0, 0, -0.005852, 5.774748, 252, 1, 1021, -78.500542, 6c
